Id,Predicted
0,neutral
1,surprise
2,anger
3,neutral
4,anger
5,non-neutral
6,neutral
7,neutral
8,surprise
9,neutral
10,anger
11,neutral
12,neutral
13,neutral
14,joy
15,surprise
16,sadness
17,surprise
18,sadness
19,sadness
20,neutral
21,neutral
22,surprise
23,non-neutral
24,joy
25,anger
26,anger
27,joy
28,anger
29,anger
30,non-neutral
31,neutral
32,non-neutral
33,neutral
34,neutral
35,non-neutral
36,neutral
37,neutral
38,surprise
39,neutral
40,neutral
41,joy
42,surprise
43,non-neutral
44,neutral
45,surprise
46,sadness
47,non-neutral
48,neutral
49,neutral
50,neutral
51,neutral
52,neutral
53,neutral
54,neutral
55,neutral
56,surprise
57,joy
58,neutral
59,neutral
60,non-neutral
61,joy
62,non-neutral
63,neutral
64,neutral
65,non-neutral
66,non-neutral
67,surprise
68,anger
69,joy
70,non-neutral
71,neutral
72,neutral
73,joy
74,neutral
75,anger
76,non-neutral
77,non-neutral
78,joy
79,non-neutral
80,non-neutral
81,surprise
82,neutral
83,joy
84,neutral
85,joy
86,neutral
87,neutral
88,neutral
89,neutral
90,neutral
91,neutral
92,neutral
93,neutral
94,anger
95,sadness
96,neutral
97,neutral
98,neutral
99,neutral
100,neutral
101,neutral
102,joy
103,surprise
104,joy
105,neutral
106,non-neutral
107,non-neutral
108,neutral
109,surprise
110,neutral
111,neutral
112,neutral
113,neutral
114,neutral
115,neutral
116,surprise
117,neutral
118,neutral
119,joy
120,surprise
121,neutral
122,anger
123,neutral
124,joy
125,joy
126,joy
127,joy
128,joy
129,neutral
130,neutral
131,neutral
132,neutral
133,non-neutral
134,surprise
135,neutral
136,anger
137,neutral
138,neutral
139,neutral
140,neutral
141,neutral
142,joy
143,neutral
144,surprise
145,neutral
146,neutral
147,neutral
148,surprise
149,surprise
150,neutral
151,neutral
152,neutral
153,neutral
154,neutral
155,neutral
156,neutral
157,neutral
158,neutral
159,neutral
160,non-neutral
161,surprise
162,surprise
163,joy
164,surprise
165,anger
166,non-neutral
167,neutral
168,neutral
169,non-neutral
170,surprise
171,neutral
172,neutral
173,neutral
174,non-neutral
175,non-neutral
176,neutral
177,neutral
178,neutral
179,neutral
180,surprise
181,neutral
182,neutral
183,neutral
184,neutral
185,neutral
186,neutral
187,neutral
188,neutral
189,neutral
190,neutral
191,neutral
192,neutral
193,neutral
194,neutral
195,neutral
196,non-neutral
197,neutral
198,neutral
199,joy
200,joy
201,joy
202,joy
203,neutral
204,neutral
205,non-neutral
206,neutral
207,neutral
208,neutral
209,neutral
210,surprise
211,joy
212,non-neutral
213,neutral
214,neutral
215,neutral
216,neutral
217,non-neutral
218,neutral
219,neutral
220,joy
221,neutral
222,neutral
223,neutral
224,neutral
225,joy
226,sadness
227,neutral
228,surprise
229,neutral
230,non-neutral
231,neutral
232,neutral
233,joy
234,neutral
235,surprise
236,neutral
237,non-neutral
238,non-neutral
239,non-neutral
240,neutral
241,surprise
242,joy
243,neutral
244,non-neutral
245,neutral
246,non-neutral
247,neutral
248,sadness
249,joy
250,joy
251,joy
252,joy
253,neutral
254,surprise
255,anger
256,neutral
257,neutral
258,neutral
259,non-neutral
260,neutral
261,neutral
262,neutral
263,neutral
264,neutral
265,anger
266,anger
267,surprise
268,neutral
269,anger
270,neutral
271,non-neutral
272,non-neutral
273,neutral
274,non-neutral
275,neutral
276,non-neutral
277,neutral
278,neutral
279,neutral
280,neutral
281,neutral
282,joy
283,neutral
284,neutral
285,neutral
286,joy
287,neutral
288,joy
289,joy
290,joy
291,neutral
292,neutral
293,neutral
294,neutral
295,neutral
296,neutral
297,sadness
298,neutral
299,neutral
300,neutral
301,neutral
302,neutral
303,neutral
304,neutral
305,surprise
306,non-neutral
307,non-neutral
308,non-neutral
309,neutral
310,neutral
311,anger
312,sadness
313,neutral
314,neutral
315,neutral
316,non-neutral
317,neutral
318,surprise
319,neutral
320,neutral
321,non-neutral
322,non-neutral
323,neutral
324,non-neutral
325,non-neutral
326,anger
327,neutral
328,neutral
329,neutral
330,neutral
331,neutral
332,non-neutral
333,non-neutral
334,neutral
335,neutral
336,neutral
337,neutral
338,neutral
339,neutral
340,non-neutral
341,surprise
342,neutral
343,surprise
344,joy
345,joy
346,joy
347,neutral
348,neutral
349,non-neutral
350,neutral
351,neutral
352,neutral
353,surprise
354,neutral
355,neutral
356,non-neutral
357,surprise
358,non-neutral
359,neutral
360,neutral
361,surprise
362,neutral
363,joy
364,neutral
365,neutral
366,surprise
367,neutral
368,neutral
369,neutral
370,neutral
371,non-neutral
372,joy
373,neutral
374,neutral
375,neutral
376,joy
377,non-neutral
378,joy
379,joy
380,joy
381,neutral
382,neutral
383,joy
384,joy
385,neutral
386,surprise
387,neutral
388,neutral
389,neutral
390,neutral
391,neutral
392,non-neutral
393,non-neutral
394,neutral
395,surprise
396,neutral
397,neutral
398,non-neutral
399,surprise
400,non-neutral
401,joy
402,anger
403,anger
404,non-neutral
405,non-neutral
406,anger
407,non-neutral
408,non-neutral
409,anger
410,anger
411,non-neutral
412,joy
413,non-neutral
414,neutral
415,neutral
416,sadness
417,sadness
418,neutral
419,neutral
420,neutral
421,neutral
422,neutral
423,surprise
424,neutral
425,neutral
426,joy
427,neutral
428,disgust
429,neutral
430,neutral
431,neutral
432,neutral
433,surprise
434,surprise
435,neutral
436,neutral
437,neutral
438,neutral
439,neutral
440,neutral
441,neutral
442,non-neutral
443,surprise
444,anger
445,joy
446,anger
447,neutral
448,neutral
449,joy
450,neutral
451,neutral
452,neutral
453,neutral
454,sadness
455,neutral
456,neutral
457,neutral
458,neutral
459,joy
460,joy
461,anger
462,neutral
463,neutral
464,joy
465,non-neutral
466,neutral
467,neutral
468,neutral
469,neutral
470,neutral
471,neutral
472,surprise
473,non-neutral
474,neutral
475,non-neutral
476,non-neutral
477,joy
478,anger
479,neutral
480,surprise
481,surprise
482,neutral
483,non-neutral
484,joy
485,neutral
486,neutral
487,neutral
488,neutral
489,neutral
490,neutral
491,non-neutral
492,surprise
493,anger
494,non-neutral
495,non-neutral
496,non-neutral
497,non-neutral
498,joy
499,neutral
500,neutral
501,neutral
502,joy
503,neutral
504,neutral
505,surprise
506,non-neutral
507,neutral
508,neutral
509,neutral
510,joy
511,neutral
512,neutral
513,neutral
514,neutral
515,surprise
516,neutral
517,joy
518,surprise
519,neutral
520,neutral
521,neutral
522,neutral
523,neutral
524,neutral
525,neutral
526,anger
527,neutral
528,neutral
529,neutral
530,neutral
531,neutral
532,neutral
533,neutral
534,joy
535,joy
536,neutral
537,neutral
538,non-neutral
539,neutral
540,surprise
541,non-neutral
542,neutral
543,neutral
544,neutral
545,neutral
546,neutral
547,joy
548,neutral
549,joy
550,neutral
551,neutral
552,joy
553,joy
554,joy
555,anger
556,non-neutral
557,neutral
558,non-neutral
559,neutral
560,non-neutral
561,neutral
562,surprise
563,non-neutral
564,non-neutral
565,non-neutral
566,joy
567,surprise
568,neutral
569,joy
570,neutral
571,neutral
572,neutral
573,joy
574,surprise
575,neutral
576,surprise
577,neutral
578,surprise
579,surprise
580,neutral
581,joy
582,joy
583,joy
584,neutral
585,sadness
586,surprise
587,neutral
588,neutral
589,neutral
590,surprise
591,surprise
592,non-neutral
593,surprise
594,non-neutral
595,joy
596,surprise
597,joy
598,anger
599,anger
600,neutral
601,non-neutral
602,neutral
603,joy
604,neutral
605,surprise
606,sadness
607,neutral
608,neutral
609,sadness
610,neutral
611,sadness
612,non-neutral
613,neutral
614,surprise
615,neutral
616,non-neutral
617,non-neutral
618,surprise
619,neutral
620,neutral
621,joy
622,surprise
623,neutral
624,neutral
625,non-neutral
626,neutral
627,neutral
628,joy
629,neutral
630,neutral
631,neutral
632,non-neutral
633,surprise
634,anger
635,neutral
636,neutral
637,neutral
638,joy
639,joy
640,joy
641,non-neutral
642,surprise
643,neutral
644,neutral
645,neutral
646,neutral
647,joy
648,joy
649,non-neutral
650,neutral
651,neutral
652,neutral
653,neutral
654,joy
655,non-neutral
656,surprise
657,neutral
658,joy
659,joy
660,neutral
661,joy
662,anger
663,neutral
664,anger
665,neutral
666,joy
667,neutral
668,surprise
669,surprise
670,surprise
671,joy
672,neutral
673,neutral
674,non-neutral
675,sadness
676,anger
677,neutral
678,sadness
679,neutral
680,surprise
681,non-neutral
682,surprise
683,surprise
684,surprise
685,surprise
686,non-neutral
687,sadness
688,neutral
689,neutral
690,neutral
691,neutral
692,non-neutral
693,surprise
694,neutral
695,neutral
696,neutral
697,neutral
698,neutral
699,neutral
700,neutral
701,neutral
702,joy
703,neutral
704,neutral
705,neutral
706,neutral
707,neutral
708,neutral
709,non-neutral
710,neutral
711,anger
712,neutral
713,neutral
714,non-neutral
715,non-neutral
716,non-neutral
717,neutral
718,joy
719,joy
720,neutral
721,anger
722,surprise
723,neutral
724,surprise
725,surprise
726,surprise
727,surprise
728,surprise
729,sadness
730,neutral
731,neutral
732,neutral
733,neutral
734,surprise
735,neutral
736,neutral
737,neutral
738,neutral
739,joy
740,neutral
741,neutral
742,neutral
743,joy
744,joy
745,neutral
746,neutral
747,neutral
748,surprise
749,neutral
750,surprise
751,anger
752,neutral
753,surprise
754,sadness
755,neutral
756,neutral
757,neutral
758,neutral
759,anger
760,neutral
761,anger
762,neutral
763,neutral
764,neutral
765,neutral
766,neutral
767,neutral
768,neutral
769,joy
770,joy
771,neutral
772,neutral
773,neutral
774,non-neutral
775,anger
776,sadness
777,surprise
778,non-neutral
779,anger
780,non-neutral
781,joy
782,neutral
783,neutral
784,neutral
785,anger
786,anger
787,surprise
788,anger
789,surprise
790,neutral
791,anger
792,non-neutral
793,non-neutral
794,anger
795,non-neutral
796,joy
797,neutral
798,surprise
799,joy
800,surprise
801,neutral
802,sadness
803,anger
804,neutral
805,non-neutral
806,neutral
807,neutral
808,surprise
809,neutral
810,neutral
811,neutral
812,non-neutral
813,non-neutral
814,neutral
815,neutral
816,non-neutral
817,neutral
818,surprise
819,neutral
820,neutral
821,neutral
822,anger
823,neutral
824,joy
825,neutral
826,neutral
827,joy
828,joy
829,joy
830,joy
831,neutral
832,neutral
833,neutral
834,non-neutral
835,non-neutral
836,sadness
837,sadness
838,neutral
839,neutral
840,neutral
841,neutral
842,sadness
843,joy
844,neutral
845,neutral
846,non-neutral
847,non-neutral
848,neutral
849,neutral
850,non-neutral
851,joy
852,neutral
853,neutral
854,neutral
855,anger
856,joy
857,neutral
858,joy
859,neutral
860,neutral
861,neutral
862,neutral
863,neutral
864,non-neutral
865,anger
866,neutral
867,non-neutral
868,neutral
869,neutral
870,non-neutral
871,surprise
872,neutral
873,non-neutral
874,non-neutral
875,surprise
876,surprise
877,surprise
878,surprise
879,neutral
880,sadness
881,joy
882,neutral
883,joy
884,neutral
885,neutral
886,neutral
887,surprise
888,neutral
889,non-neutral
890,neutral
891,joy
892,joy
893,neutral
894,neutral
895,surprise
896,non-neutral
897,neutral
898,neutral
899,neutral
900,non-neutral
901,neutral
902,joy
903,joy
904,joy
905,surprise
906,non-neutral
907,surprise
908,anger
909,neutral
910,neutral
911,neutral
912,non-neutral
913,anger
914,joy
915,neutral
916,joy
917,surprise
918,surprise
919,surprise
920,neutral
921,surprise
922,anger
923,anger
924,surprise
925,neutral
926,anger
927,anger
928,neutral
929,neutral
930,neutral
931,surprise
932,surprise
933,neutral
934,joy
935,surprise
936,joy
937,joy
938,neutral
939,non-neutral
940,neutral
941,neutral
942,neutral
943,anger
944,non-neutral
945,neutral
946,surprise
947,non-neutral
948,surprise
949,non-neutral
950,surprise
951,non-neutral
952,surprise
953,surprise
954,neutral
955,neutral
956,neutral
957,neutral
958,sadness
959,non-neutral
960,non-neutral
961,neutral
962,surprise
963,non-neutral
964,neutral
965,surprise
966,surprise
967,surprise
968,surprise
969,joy
970,joy
971,surprise
972,neutral
973,neutral
974,neutral
975,neutral
976,surprise
977,neutral
978,neutral
979,neutral
980,non-neutral
981,non-neutral
982,non-neutral
983,neutral
984,neutral
985,non-neutral
986,neutral
987,neutral
988,neutral
989,neutral
990,neutral
991,joy
992,non-neutral
993,neutral
994,neutral
995,neutral
996,non-neutral
997,surprise
998,neutral
999,neutral
1000,non-neutral
1001,neutral
1002,surprise
1003,neutral
1004,joy
1005,neutral
1006,neutral
1007,neutral
1008,surprise
1009,neutral
1010,neutral
1011,neutral
1012,neutral
1013,surprise
1014,neutral
1015,joy
1016,non-neutral
1017,surprise
1018,neutral
1019,non-neutral
1020,joy
1021,neutral
1022,neutral
1023,neutral
1024,neutral
1025,neutral
1026,neutral
1027,neutral
1028,non-neutral
1029,joy
1030,neutral
1031,neutral
1032,non-neutral
1033,surprise
1034,neutral
1035,joy
1036,joy
1037,neutral
1038,neutral
1039,sadness
1040,joy
1041,neutral
1042,neutral
1043,neutral
1044,joy
1045,surprise
1046,surprise
1047,non-neutral
1048,non-neutral
1049,surprise
1050,neutral
1051,non-neutral
1052,surprise
1053,neutral
1054,neutral
1055,non-neutral
1056,non-neutral
1057,non-neutral
1058,non-neutral
1059,non-neutral
1060,neutral
1061,neutral
1062,neutral
1063,neutral
1064,joy
1065,joy
1066,joy
1067,neutral
1068,neutral
1069,neutral
1070,surprise
1071,surprise
1072,surprise
1073,joy
1074,neutral
1075,surprise
1076,surprise
1077,joy
1078,neutral
1079,neutral
1080,sadness
1081,neutral
1082,neutral
1083,non-neutral
1084,neutral
1085,surprise
1086,neutral
1087,neutral
1088,neutral
1089,non-neutral
1090,neutral
1091,joy
1092,surprise
1093,neutral
1094,non-neutral
1095,neutral
1096,neutral
1097,neutral
1098,neutral
1099,neutral
1100,sadness
1101,neutral
1102,neutral
1103,neutral
1104,neutral
1105,neutral
1106,neutral
1107,neutral
1108,neutral
1109,neutral
1110,neutral
1111,sadness
1112,surprise
1113,joy
1114,surprise
1115,neutral
1116,non-neutral
1117,non-neutral
1118,neutral
1119,neutral
1120,neutral
1121,neutral
1122,neutral
1123,neutral
1124,neutral
1125,neutral
1126,non-neutral
1127,neutral
1128,neutral
1129,neutral
1130,neutral
1131,non-neutral
1132,joy
1133,neutral
1134,neutral
1135,non-neutral
1136,neutral
1137,joy
1138,non-neutral
1139,joy
1140,neutral
1141,neutral
1142,neutral
1143,neutral
1144,neutral
1145,neutral
1146,neutral
1147,surprise
1148,non-neutral
1149,surprise
1150,non-neutral
1151,non-neutral
1152,surprise
1153,neutral
1154,neutral
1155,neutral
1156,joy
1157,anger
1158,anger
1159,non-neutral
1160,non-neutral
1161,neutral
1162,anger
1163,non-neutral
1164,sadness
1165,non-neutral
1166,surprise
1167,neutral
1168,anger
1169,surprise
1170,surprise
1171,non-neutral
1172,surprise
1173,neutral
1174,non-neutral
1175,neutral
1176,anger
1177,neutral
1178,joy
1179,neutral
1180,neutral
1181,surprise
1182,neutral
1183,neutral
1184,neutral
1185,neutral
1186,neutral
1187,neutral
1188,surprise
1189,surprise
1190,surprise
1191,joy
1192,neutral
1193,surprise
1194,joy
1195,neutral
1196,sadness
1197,neutral
1198,neutral
1199,neutral
1200,joy
1201,neutral
1202,joy
1203,neutral
1204,non-neutral
1205,joy
1206,neutral
1207,neutral
1208,non-neutral
1209,neutral
1210,neutral
1211,surprise
1212,neutral
1213,joy
1214,neutral
1215,neutral
1216,joy
1217,joy
1218,anger
1219,neutral
1220,joy
1221,neutral
1222,surprise
1223,neutral
1224,surprise
1225,joy
1226,non-neutral
1227,joy
1228,sadness
1229,neutral
1230,neutral
1231,neutral
1232,neutral
1233,anger
1234,neutral
1235,sadness
1236,neutral
1237,joy
1238,surprise
1239,joy
1240,joy
1241,neutral
1242,sadness
1243,neutral
1244,neutral
1245,anger
1246,surprise
1247,surprise
1248,surprise
1249,surprise
1250,non-neutral
1251,neutral
1252,surprise
1253,non-neutral
1254,non-neutral
1255,surprise
1256,surprise
1257,neutral
1258,joy
1259,neutral
1260,neutral
1261,anger
1262,neutral
1263,neutral
1264,joy
1265,surprise
1266,anger
1267,neutral
1268,non-neutral
1269,surprise
1270,neutral
1271,neutral
1272,neutral
1273,joy
1274,joy
1275,neutral
1276,joy
1277,neutral
1278,neutral
1279,surprise
1280,neutral
1281,surprise
1282,neutral
1283,surprise
1284,non-neutral
1285,sadness
1286,joy
1287,neutral
1288,neutral
1289,neutral
1290,surprise
1291,non-neutral
1292,surprise
1293,neutral
1294,surprise
1295,surprise
1296,non-neutral
1297,non-neutral
1298,surprise
1299,neutral
1300,neutral
1301,neutral
1302,neutral
1303,neutral
1304,neutral
1305,neutral
1306,neutral
1307,neutral
1308,surprise
1309,surprise
1310,surprise
1311,non-neutral
1312,surprise
1313,joy
1314,non-neutral
1315,non-neutral
1316,surprise
1317,neutral
1318,non-neutral
1319,neutral
1320,non-neutral
1321,joy
1322,non-neutral
1323,neutral
1324,non-neutral
1325,sadness
1326,non-neutral
1327,non-neutral
1328,surprise
1329,neutral
1330,anger
1331,neutral
1332,neutral
1333,neutral
1334,non-neutral
1335,non-neutral
1336,surprise
1337,neutral
1338,neutral
1339,neutral
1340,surprise
1341,neutral
1342,neutral
1343,surprise
1344,sadness
1345,joy
1346,surprise
1347,surprise
1348,surprise
1349,anger
1350,anger
1351,neutral
1352,neutral
1353,neutral
1354,non-neutral
1355,neutral
1356,neutral
1357,neutral
1358,neutral
1359,neutral
1360,neutral
1361,non-neutral
1362,sadness
1363,neutral
1364,neutral
1365,neutral
1366,neutral
1367,neutral
1368,neutral
1369,non-neutral
1370,neutral
1371,surprise
1372,neutral
1373,neutral
1374,non-neutral
1375,joy
1376,surprise
1377,joy
1378,neutral
1379,sadness
1380,non-neutral
1381,neutral
1382,neutral
1383,neutral
1384,non-neutral
1385,neutral
1386,neutral
1387,non-neutral
1388,joy
1389,neutral
1390,neutral
1391,anger
1392,non-neutral
1393,anger
1394,non-neutral
1395,neutral
1396,neutral
1397,neutral
1398,non-neutral
1399,neutral
1400,neutral
1401,neutral
1402,surprise
1403,neutral
1404,surprise
1405,neutral
1406,joy
1407,neutral
1408,neutral
1409,neutral
1410,non-neutral
1411,joy
1412,joy
1413,surprise
1414,surprise
1415,non-neutral
1416,anger
1417,surprise
1418,neutral
1419,surprise
1420,anger
1421,surprise
1422,neutral
1423,neutral
1424,neutral
1425,neutral
1426,surprise
1427,neutral
1428,sadness
1429,joy
1430,neutral
1431,neutral
1432,neutral
1433,joy
1434,surprise
1435,neutral
1436,neutral
1437,neutral
1438,surprise
1439,surprise
1440,non-neutral
1441,joy
1442,surprise
1443,neutral
1444,neutral
1445,non-neutral
1446,non-neutral
1447,neutral
1448,neutral
1449,neutral
1450,neutral
1451,neutral
1452,neutral
1453,neutral
1454,neutral
1455,joy
1456,non-neutral
1457,surprise
1458,neutral
1459,anger
1460,non-neutral
1461,anger
1462,non-neutral
1463,anger
1464,anger
1465,surprise
1466,neutral
1467,surprise
1468,surprise
1469,neutral
1470,neutral
1471,neutral
1472,neutral
1473,joy
1474,neutral
1475,non-neutral
1476,neutral
1477,neutral
1478,neutral
1479,non-neutral
1480,neutral
1481,neutral
1482,neutral
1483,non-neutral
1484,anger
1485,neutral
1486,neutral
1487,joy
1488,neutral
1489,surprise
1490,neutral
1491,surprise
1492,anger
1493,surprise
1494,joy
1495,neutral
1496,surprise
1497,surprise
1498,joy
1499,surprise
1500,joy
1501,surprise
1502,non-neutral
1503,neutral
1504,neutral
1505,neutral
1506,non-neutral
1507,neutral
1508,joy
1509,neutral
1510,anger
1511,neutral
1512,non-neutral
1513,neutral
1514,neutral
1515,neutral
1516,neutral
1517,anger
1518,surprise
1519,neutral
1520,surprise
1521,non-neutral
1522,neutral
1523,sadness
1524,neutral
1525,non-neutral
1526,anger
1527,neutral
1528,neutral
1529,neutral
1530,neutral
1531,neutral
1532,neutral
1533,surprise
1534,non-neutral
1535,neutral
1536,neutral
1537,joy
1538,joy
1539,sadness
1540,neutral
1541,surprise
1542,joy
1543,neutral
1544,non-neutral
1545,surprise
1546,neutral
1547,joy
1548,neutral
1549,surprise
1550,anger
1551,non-neutral
1552,non-neutral
1553,neutral
1554,surprise
1555,surprise
1556,surprise
1557,surprise
1558,anger
1559,non-neutral
1560,joy
1561,non-neutral
1562,non-neutral
1563,neutral
1564,neutral
1565,neutral
1566,neutral
1567,neutral
1568,joy
1569,neutral
1570,neutral
1571,surprise
1572,neutral
1573,neutral
1574,surprise
1575,surprise
1576,non-neutral
1577,neutral
1578,neutral
1579,anger
1580,non-neutral
1581,neutral
1582,anger
1583,surprise
1584,joy
1585,surprise
1586,joy
1587,joy
1588,neutral
1589,non-neutral
1590,non-neutral
1591,joy
1592,neutral
1593,non-neutral
1594,non-neutral
1595,surprise
1596,neutral
1597,surprise
1598,neutral
1599,surprise
1600,neutral
1601,anger
1602,neutral
1603,neutral
1604,joy
1605,neutral
1606,neutral
1607,joy
1608,neutral
1609,neutral
1610,neutral
1611,surprise
1612,neutral
1613,non-neutral
1614,non-neutral
1615,non-neutral
1616,neutral
1617,non-neutral
1618,non-neutral
1619,joy
1620,neutral
1621,neutral
1622,joy
